codigo,dpto,mpio,mesas_reg,mesas_testigos,cepeda_reg,cepeda_testigos,delta_cepeda,espriella_reg,espriella_testigos,delta_espriella
07019,07,019,7,7,466,466,0,891,891,0
07022,07,022,15,15,702,702,0,2187,2187,0
07025,07,025,13,13,890,890,0,2199,2199,0
07028,07,028,7,7,257,257,0,1349,1349,0
07031,07,031,16,16,622,622,0,2780,2780,0
07034,07,034,3,3,194,194,0,546,546,0
07037,07,037,12,12,574,574,0,1613,1613,0
07040,07,040,9,9,253,253,0,1339,1339,0
07043,07,043,11,11,1055,1055,0,1461,1461,0
07046,07,046,11,11,377,377,0,2451,2451,0
07049,07,049,30,30,2873,2873,0,3938,3938,0
07052,07,052,12,12,276,276,0,1791,1791,0
07055,07,055,7,7,659,659,0,1139,1139,0
07058,07,058,12,12,250,250,0,1826,1826,0
07059,07,059,22,22,2300,2300,0,1288,1288,0
07060,07,060,10,10,1091,1091,0,1398,1398,0
07061,07,061,6,6,354,354,0,867,867,0
07064,07,064,10,10,468,468,0,1646,1646,0
07067,07,067,132,132,11739,11739,0,18637,18637,0
07068,07,068,15,15,904,904,0,2172,2172,0
07070,07,070,11,11,265,265,0,1498,1498,0
07073,07,073,23,23,612,612,0,2967,2967,0
07076,07,076,18,18,546,546,0,2955,2955,0
07077,07,077,10,10,928,928,0,1563,1563,0
07078,07,078,7,7,152,152,0,1091,1091,0
07079,07,079,283,283,35416,35416,0,36015,36015,0
07082,07,082,11,11,384,384,0,1622,1622,0
07085,07,085,8,8,196,196,0,1258,1258,0
07088,07,088,19,19,1860,1860,0,2071,2071,0
07091,07,091,11,11,575,575,0,2002,2002,0
07094,07,094,9,9,481,481,0,1568,1568,0
07097,07,097,13,13,520,520,0,2328,2328,0
07100,07,100,38,38,3271,3271,0,5345,5345,0
07103,07,103,5,5,208,208,0,763,763,0
07106,07,106,27,27,2380,2380,0,3778,3778,0
07109,07,109,11,11,485,485,0,2247,2247,0
07112,07,112,12,12,756,756,0,1063,1063,0
07118,07,118,7,7,534,534,0,1041,1041,0
07121,07,121,19,19,1323,1323,0,3093,3093,0
07124,07,124,12,12,198,198,0,1865,1865,0
07127,07,127,10,10,397,397,0,1870,1870,0
07130,07,130,7,7,431,431,0,1302,1302,0
07136,07,136,9,9,247,247,0,1326,1326,0
07137,07,137,6,6,204,204,0,680,680,0
07139,07,139,41,41,4000,4000,0,6434,6434,0
07142,07,142,13,13,514,514,0,1901,1901,0
07148,07,148,19,19,450,450,0,3020,3020,0
07151,07,151,23,23,2332,2332,0,3048,3048,0
07154,07,154,13,13,474,474,0,2657,2657,0
07157,07,157,12,12,962,962,0,1998,1998,0
07160,07,160,58,58,4714,4714,0,8875,8875,0
07161,07,161,18,18,1921,1921,0,2262,2262,0
07163,07,163,24,24,1422,1422,0,3005,3005,0
07166,07,166,40,40,6641,6641,0,3984,3984,0
07169,07,169,14,14,1083,1083,0,2423,2423,0
07173,07,173,9,9,901,901,0,1196,1196,0
07176,07,176,27,27,919,919,0,3850,3850,0
07178,07,178,6,6,285,285,0,1099,1099,0
07179,07,179,8,8,305,305,0,1457,1457,0
07181,07,181,90,90,10275,10275,0,12342,12342,0
07184,07,184,6,6,344,344,0,864,864,0
07187,07,187,5,5,179,179,0,770,770,0
07190,07,190,22,22,1045,1045,0,3324,3324,0
07193,07,193,6,6,174,174,0,1007,1007,0
07199,07,199,13,13,1433,1433,0,1134,1134,0
07202,07,202,20,20,952,952,0,3215,3215,0
07205,07,205,4,4,159,159,0,667,667,0
07214,07,214,119,119,10046,10046,0,14527,14527,0
07215,07,215,17,17,544,544,0,2236,2236,0
07217,07,217,29,29,1936,1936,0,4634,4634,0
07220,07,220,17,17,1151,1151,0,2884,2884,0
07223,07,223,7,7,354,354,0,1188,1188,0
07226,07,226,35,35,2149,2149,0,5118,5118,0
07232,07,232,13,13,1021,1021,0,2313,2313,0
07235,07,235,47,47,3497,3497,0,7955,7955,0
07237,07,237,5,5,333,333,0,711,711,0
07238,07,238,18,18,677,677,0,2779,2779,0
07241,07,241,15,15,372,372,0,2451,2451,0
07247,07,247,11,11,280,280,0,1881,1881,0
07248,07,248,9,9,517,517,0,1498,1498,0
07249,07,249,20,20,612,612,0,3257,3257,0
07250,07,250,21,21,1126,1126,0,3320,3320,0
07251,07,251,11,11,776,776,0,1282,1282,0
07253,07,253,27,27,2274,2274,0,4330,4330,0
07256,07,256,10,10,399,399,0,1875,1875,0
07259,07,259,8,8,222,222,0,1314,1314,0
07262,07,262,4,4,190,190,0,582,582,0
07265,07,265,18,18,1171,1171,0,3129,3129,0
07268,07,268,22,22,1686,1686,0,3541,3541,0
07271,07,271,20,20,728,728,0,2837,2837,0
07274,07,274,22,22,1469,1469,0,2853,2853,0
07277,07,277,286,286,35358,35358,0,38009,38009,0
07280,07,280,9,9,509,509,0,1382,1382,0
07281,07,281,9,9,797,797,0,1352,1352,0
07282,07,282,19,19,1643,1643,0,2893,2893,0
07283,07,283,19,19,1494,1494,0,3133,3133,0
07286,07,286,9,9,286,286,0,1287,1287,0
07289,07,289,18,18,1256,1256,0,3316,3316,0
07292,07,292,12,12,836,836,0,1895,1895,0
07298,07,298,14,14,1023,1023,0,2227,2227,0
07301,07,301,11,11,669,669,0,1797,1797,0
07304,07,304,23,23,1271,1271,0,3652,3652,0
07307,07,307,30,30,3676,3676,0,3795,3795,0
07310,07,310,9,9,858,858,0,1526,1526,0
07311,07,311,11,11,484,484,0,1747,1747,0
07313,07,313,23,23,2014,2014,0,3567,3567,0
07316,07,316,13,13,556,556,0,2129,2129,0
07319,07,319,11,11,716,716,0,1853,1853,0
07322,07,322,14,14,617,617,0,2202,2202,0
07324,07,324,5,5,279,279,0,775,775,0
07325,07,325,17,17,1199,1199,0,2656,2656,0
07328,07,328,25,25,2559,2559,0,3639,3639,0
07331,07,331,7,7,433,433,0,1031,1031,0
07334,07,334,17,17,798,798,0,3294,3294,0
07337,07,337,35,35,2968,2968,0,5031,5031,0
07340,07,340,8,8,325,325,0,1452,1452,0
07346,07,346,14,14,820,820,0,2337,2337,0
09001,09,001,1013,1013,103619,103619,0,128762,128762,0
09004,09,004,59,59,2232,2232,0,9417,9417,0
09007,09,007,92,92,5312,5312,0,11553,11553,0
09013,09,013,37,37,1156,1156,0,4905,4905,0
09022,09,022,31,31,1976,1976,0,3564,3564,0
09034,09,034,140,140,11820,11820,0,16190,16190,0
09037,09,037,30,30,1161,1161,0,3909,3909,0
09049,09,049,170,170,14956,14956,0,17285,17285,0
09052,09,052,19,19,896,896,0,2127,2127,0
09055,09,055,48,48,1799,1799,0,6580,6580,0
09058,09,058,26,26,1704,1704,0,1992,1992,0
09061,09,061,37,37,1438,1438,0,5420,5420,0
09067,09,067,9,9,219,219,0,1001,1001,0
09076,09,076,60,60,3516,3516,0,7790,7790,0
09078,09,078,21,21,1222,1222,0,2112,2112,0
09079,09,079,40,40,1344,1344,0,5766,5766,0
09082,09,082,44,44,3337,3337,0,4846,4846,0
09085,09,085,53,53,2237,2237,0,6903,6903,0
09103,09,103,125,125,12182,12182,0,13483,13483,0
09106,09,106,32,32,1593,1593,0,4096,4096,0
09109,09,109,45,45,2327,2327,0,5713,5713,0
09115,09,115,54,54,2155,2155,0,7278,7278,0
09120,09,120,16,16,925,925,0,1912,1912,0
09124,09,124,74,74,5780,5780,0,7518,7518,0
09127,09,127,26,26,1492,1492,0,3313,3313,0
09130,09,130,147,147,15021,15021,0,17700,17700,0
09133,09,133,44,44,2285,2285,0,5600,5600,0
11001,11,001,785,785,128296,128296,0,66470,66470,0
11004,11,004,43,43,9035,9035,0,413,413,0
11005,11,005,73,73,15849,15849,0,1338,1338,0
