codigo,dpto,mpio,mesas_total,mesas_escrutadas,censo,votantes,abstencion,nulos,no_marcados,blancos,validos,iván cepeda castro,abelardo de la espriella,,,
05091,05,091,43,43,14327,7619,6708,12,14,61,7593,5675,1857,0,61,0
05094,05,094,50,50,17564,9811,7753,47,17,81,9747,7292,2374,0,81,0
05095,05,095,87,87,27828,16373,11455,130,24,285,16219,3773,12161,0,285,0
05097,05,097,50,50,13893,7914,5979,44,8,87,7862,2842,4933,0,87,0
05106,05,106,26,26,8956,5935,3021,16,10,36,5909,4575,1298,0,36,0
05110,05,110,34,34,10594,6157,4437,9,6,42,6142,2501,3599,0,42,0
05113,05,113,51,51,15438,6893,8545,22,13,76,6858,3264,3518,0,76,0
05118,05,118,220,220,77424,45850,31574,159,43,573,45648,30272,14803,0,573,0
05121,05,121,50,50,17065,10644,6421,22,9,71,10613,7877,2665,0,71,0
05124,05,124,52,52,17747,9432,8315,59,25,88,9348,5216,4044,0,88,0
05127,05,127,29,29,10102,6024,4078,22,8,29,5994,4610,1355,0,29,0
07001,07,001,404,404,142355,108715,33640,1138,49,2210,107528,57709,47609,0,2210,0
07007,07,007,6,6,1976,1172,804,16,3,20,1153,315,818,0,20,0
07008,07,008,45,45,12939,8977,3962,62,19,83,8896,1760,7053,0,83,0
07010,07,010,15,15,5165,3748,1417,35,6,60,3707,1259,2388,0,60,0
07013,07,013,21,21,7008,5020,1988,53,5,87,4962,1594,3281,0,87,0
07016,07,016,5,5,1471,1031,440,8,3,14,1020,431,575,0,14,0
07019,07,019,7,7,2014,1382,632,7,2,16,1373,466,891,0,16,0
07022,07,022,15,15,4879,2941,1938,23,2,27,2916,702,2187,0,27,0
07025,07,025,13,13,4550,3154,1396,25,12,28,3117,890,2199,0,28,0
07028,07,028,7,7,2442,1627,815,2,7,12,1618,257,1349,0,12,0
07031,07,031,16,16,5008,3458,1550,19,2,35,3437,622,2780,0,35,0
07034,07,034,3,3,980,752,228,6,0,6,746,194,546,0,6,0
07037,07,037,12,12,3219,2246,973,18,6,35,2222,574,1613,0,35,0
07040,07,040,9,9,2383,1620,763,4,1,23,1615,253,1339,0,23,0
07043,07,043,11,11,3658,2609,1049,35,3,55,2571,1055,1461,0,55,0
07046,07,046,11,11,3861,2875,986,11,5,31,2859,377,2451,0,31,0
07049,07,049,30,30,10018,7023,2995,88,6,118,6929,2873,3938,0,118,0
07052,07,052,12,12,3192,2089,1103,7,2,13,2080,276,1791,0,13,0
07055,07,055,7,7,2423,1845,578,15,3,29,1827,659,1139,0,29,0
07058,07,058,12,12,3418,2097,1321,5,2,14,2090,250,1826,0,14,0
07059,07,059,22,22,7075,3717,3358,65,14,50,3638,2300,1288,0,50,0
07060,07,060,10,10,3447,2536,911,15,7,25,2514,1091,1398,0,25,0
07061,07,061,6,6,1858,1239,619,6,3,9,1230,354,867,0,9,0
07064,07,064,10,10,3081,2139,942,11,1,13,2127,468,1646,0,13,0
07067,07,067,132,132,44207,31250,12957,337,20,517,30893,11739,18637,0,517,0
07068,07,068,15,15,4769,3127,1642,26,3,22,3098,904,2172,0,22,0
07070,07,070,11,11,3173,1786,1387,3,2,18,1781,265,1498,0,18,0
07073,07,073,23,23,6277,3642,2635,20,8,35,3614,612,2967,0,35,0
07076,07,076,18,18,5796,3531,2265,12,6,12,3513,546,2955,0,12,0
07077,07,077,10,10,3355,2534,821,12,0,31,2522,928,1563,0,31,0
07078,07,078,7,7,1897,1262,635,5,1,13,1256,152,1091,0,13,0
07079,07,079,283,283,97592,73569,24023,710,39,1389,72820,35416,36015,0,1389,0
07082,07,082,11,11,3356,2086,1270,28,1,51,2057,384,1622,0,51,0
07085,07,085,8,8,2184,1480,704,8,1,17,1471,196,1258,0,17,0
07088,07,088,19,19,6034,4042,1992,46,2,63,3994,1860,2071,0,63,0
07091,07,091,11,11,3567,2631,936,11,6,37,2614,575,2002,0,37,0
07094,07,094,9,9,3010,2095,915,13,6,27,2076,481,1568,0,27,0
07097,07,097,13,13,4017,2889,1128,14,2,25,2873,520,2328,0,25,0
07100,07,100,38,38,12611,8876,3735,95,6,159,8775,3271,5345,0,159,0
07103,07,103,5,5,1553,997,556,14,1,11,982,208,763,0,11,0
07106,07,106,27,27,9177,6339,2838,62,7,112,6270,2380,3778,0,112,0
07109,07,109,11,11,3891,2765,1126,10,2,21,2753,485,2247,0,21,0
07112,07,112,12,12,3076,1876,1200,22,4,31,1850,756,1063,0,31,0
07118,07,118,7,7,2275,1616,659,15,1,25,1600,534,1041,0,25,0
07121,07,121,19,19,6469,4495,1974,30,7,42,4458,1323,3093,0,42,0
07124,07,124,12,12,3369,2086,1283,9,5,9,2072,198,1865,0,9,0
07127,07,127,10,10,3156,2298,858,11,3,17,2284,397,1870,0,17,0
07130,07,130,7,7,2459,1762,697,8,2,19,1752,431,1302,0,19,0
07136,07,136,9,9,2390,1608,782,8,2,25,1598,247,1326,0,25,0
07137,07,137,6,6,1586,902,684,6,1,11,895,204,680,0,11,0
07139,07,139,41,41,14104,10740,3364,81,9,216,10650,4000,6434,0,216,0
07142,07,142,13,13,3654,2480,1174,19,9,37,2452,514,1901,0,37,0
07148,07,148,19,19,5932,3511,2421,11,8,22,3492,450,3020,0,22,0
07151,07,151,23,23,7629,5506,2123,36,8,82,5462,2332,3048,0,82,0
07154,07,154,13,13,4098,3160,938,7,4,18,3149,474,2657,0,18,0
07157,07,157,12,12,4026,3027,999,22,4,41,3001,962,1998,0,41,0
07160,07,160,58,58,20012,13963,6049,156,24,194,13783,4714,8875,0,194,0
07161,07,161,18,18,5835,4260,1575,31,3,43,4226,1921,2262,0,43,0
07163,07,163,24,24,7509,4539,2970,48,8,56,4483,1422,3005,0,56,0
07166,07,166,40,40,13741,10822,2919,69,3,125,10750,6641,3984,0,125,0
07169,07,169,14,14,4922,3576,1346,21,7,42,3548,1083,2423,0,42,0
07173,07,173,9,9,2870,2161,709,26,2,36,2133,901,1196,0,36,0
07176,07,176,27,27,7330,4832,2498,23,3,37,4806,919,3850,0,37,0
07178,07,178,6,6,1946,1414,532,19,2,9,1393,285,1099,0,9,0
07179,07,179,8,8,2406,1804,602,9,4,29,1791,305,1457,0,29,0
07181,07,181,90,90,30726,23291,7435,245,5,424,23041,10275,12342,0,424,0
07184,07,184,6,6,1782,1226,556,3,1,14,1222,344,864,0,14,0
07187,07,187,5,5,1579,971,608,4,4,14,963,179,770,0,14,0
07190,07,190,22,22,6873,4441,2432,29,15,28,4397,1045,3324,0,28,0
07193,07,193,6,6,1763,1202,561,6,3,12,1193,174,1007,0,12,0
07199,07,199,13,13,4047,2654,1393,32,3,52,2619,1433,1134,0,52,0
07202,07,202,20,20,6416,4244,2172,21,10,46,4213,952,3215,0,46,0
07205,07,205,4,4,1251,843,408,2,4,11,837,159,667,0,11,0
07214,07,214,119,119,39824,25561,14263,581,47,360,24933,10046,14527,0,360,0
